ProductID,SKU,ProductName,Category,SubCategory,Brand,UnitPrice,CostPrice,LaunchDate,DiscontinuedFlag,Color,Size,WeightKg,PackageDimensions,Rating,StockStatus
17,SKU-I61817,Eco Shoes,Electronics,Office,GeoBasics,883.65,606.18,"Nov 23, 2023",False,Red,XL,19.48,60.3x28.7x14.0 cm,4.48,Out of Stock
2060,SKU-C87751,Ultra Mixer,Grocery,Premium,UrbanEdge,2298.8,1090.73,"Nov 02, 2019",False,,S,10.91,17.8x49.3x38.9 cm,4.74,Out of Stock
19,SKU-H37798,Pro Phone,Electronics,Outdoor,GeoBasics,1448.32,1096.25,2020-09-02 10:22:03,True,Pink,XS,13.31,79.3x10.0x14.7 cm,4.56,In Stock
20,SKU-C51882,Eco Watch,Electronics,Office,Luxora,561.67,348.01,28/09/2021,False,Green,,13.75,49.1x49.1x28.4 cm,3.1,Low Stock
3760,SKU-B60513,Eco Shoes,Home & Kitchen,Budget,HomeSense,1653.21,974.67,2020-11-01,False,Black,XS,23.97,44.5x25.3x6.6 cm,2.57,Out of Stock
22,SKU-V16519,Eco Phone,Electronics,Outdoor,CartPro,1175.07,973.51,"Nov 24, 2020",False,Black,M,17.75,68.7x78.0x35.1 cm,4.32,In Stock
23,SKU-A63007,Lite Backpack,Sports,Premium,HomeSense,1877.65,1099.24,2024-07-17T04:26:00,False,Pink,XL,18.83,12.5x31.8x11.7 cm,4.14,In Stock
24,SKU-N24793,Max Headphones,Toys,Budget,PrimeLine,2518.07,1544.08,"Nov 23, 2021",False,Grey,XL,7.91,71.2x41.0x17.6 cm,2.05,Out of Stock
25,SKU-E71970,Eco Bottle,Toys,Outdoor,Luxora,3167.7,1986.4,2021-06-09,False,Pink,XL,21.7,7.1x28.0x36.2 cm,3.36,Low Stock
26,SKU-H45313,Lite Watch,Sports,Kids,HomeSense,1392.85,894.45,18/09/2018,True,Pink,XXL,0.78,39.5x68.4x34.0 cm,4.42,Out of Stock
27,SKU-L84738,Eco Phone,Fashion,Budget,UrbanEdge,1575.53,807.87,2022-10-30T19:19:53,False,Grey,S,17.35,51.2x39.2x3.1 cm,2.63,Out of Stock
28,SKU-A90682,Max Headphones,Home & Kitchen,Premium,PrimeLine,1351.28,680.72,2020-10-13 08:15:58,False,Grey,L,24.18,28.2x76.8x12.7 cm,4.72,In Stock
29,SKU-L55840,Smart Watch,Sports,Kids,UrbanEdge,1616.6,928.8,2022-05-29T09:20:25,False,Black,XL,9.01,26.1x34.5x2.3 cm,3.4,Low Stock
30,SKU-O90003,Max Phone,Home & Kitchen,Outdoor,UrbanEdge,1950.19,1536.9,"Jan 10, 2021",False,Blue,L,4.14,12.9x11.9x1.0 cm,4.46,Out of Stock
31,SKU-L57101,Lite Backpack,Home & Kitchen,Office,UrbanEdge,2218.5,1705.94,2023-05-13T14:15:09,False,White,XS,17.45,49.6x77.1x35.3 cm,4.56,In Stock
32,SKU-J29441,Max Headphones,Fashion,Outdoor,UrbanEdge,1057.69,443.24,2023-09-14,False,Black,L,21.89,43.8x6.2x20.0 cm,2.62,Out of Stock
33,SKU-G62361,Pro Backpack,Home & Kitchen,Premium,UrbanEdge,2286.57,1745.08,20/12/2018,False,Blue,S,14.72,71.2x59.8x33.9 cm,4.83,Low Stock
34,SKU-M32184,Max Shoes,Beauty,Standard,GeoBasics,1561.52,831.68,2023-12-23,False,Blue,S,23.67,7.9x24.6x39.1 cm,4.28,Out of Stock
35,SKU-N15038,Max Shoes,Fashion,Outdoor,UrbanEdge,1172.77,495.04,2024-09-07 22:25:54,False,Grey,L,15.22,5.4x27.4x17.5 cm,3.25,Low Stock
36,SKU-Z55279,Eco Shoes,Electronics,Outdoor,GeoBasics,1194.91,unknown,"Jan 19, 2022",True,Blue,,1.48,42.0x35.7x6.4 cm,4.5,Out of Stock
37,SKU-H89507,Ultra Bottle,Toys,Budget,HomeSense,3388.63,1503.19,2019-04-15,False,Pink,M,24.23,71.9x30.5x17.7 cm,2.33,Out of Stock
38,SKU-D69432,Smart Mixer,Electronics,Outdoor,Luxora,1197.25,608.48,2019-10-29T05:43:31,False,Pink,XXL,unknown,19.9x14.4x2.3 cm,unknown,In Stock
39,SKU-S71613,Eco Shoes,Electronics,Budget,CartPro,1434.54,1056.9,2018-01-21 06:30:32,False,Pink,XL,22.21,34.6x22.7x31.7 cm,4.38,In Stock
40,SKU-T21786,Eco Mixer,Electronics,Kids,ActiveX,2387.19,1011.52,2021-11-16,False,Grey,,14.96,62.4x27.3x10.2 cm,2.84,Out of Stock
41,SKU-U35312,Pro Backpack,Toys,Standard,HomeSense,1043.33,unknown,"Jan 02, 2022",True,Blue,XL,14.59,13.4x41.4x22.1 cm,4.63,In Stock
42,SKU-M24297,Pro Mixer,Beauty,Premium,PrimeLine,1559.92,764.45,"Jul 23, 2022",False,,,10.7,79.1x10.8x11.1 cm,2.16,In Stock
43,SKU-U96043,Pro Phone,Grocery,Standard,GeoBasics,700.27,415.38,2024-05-08 21:05:05,False,Red,XL,7.86,50.7x37.6x20.5 cm,2.5,Low Stock
44,SKU-I82606,Ultra Bottle,Toys,Kids,UrbanEdge,1577.73,1254.5,2021-06-20,False,Red,L,5.87,58.2x76.8x23.7 cm,4.25,In Stock
45,SKU-I51660,Lite Backpack,Electronics,Budget,CartPro,1255.99,960.96,2025-02-23,False,Blue,XS,5.95,69.5x17.6x29.1 cm,4.69,Low Stock
46,SKU-P58757,Pro Backpack,Sports,Outdoor,PrimeLine,2005.63,1173.19,"Sep 30, 2023",False,Pink,XL,17.27,11.7x45.8x25.0 cm,3.95,Out of Stock
47,SKU-E22694,Max Headphones,Beauty,Office,CartPro,1778.71,836.11,"Oct 19, 2020",False,Grey,XL,3.96,18.1x70.8x16.9 cm,4.81,Out of Stock
48,SKU-T24819,Pro Mixer,Grocery,Budget,HomeSense,680.5,566.07,2020-03-12 14:24:19,False,Black,XXL,8.42,28.1x51.0x24.5 cm,3.34,In Stock
49,SKU-Y36515,Eco Bottle,Home & Kitchen,Outdoor,PrimeLine,1903.17,1179.75,2019-02-03T03:33:21,False,White,L,9.61,65.2x12.8x39.7 cm,4.45,Low Stock
50,SKU-N82787,Ultra Backpack,Toys,Outdoor,CartPro,1629.56,759.74,2020-07-08,True,Red,,17.42,34.7x50.9x16.5 cm,2.76,Out of Stock
51,SKU-S63061,Eco Shoes,Toys,Office,UrbanEdge,2935.96,1501.52,2019-11-06,False,Black,,2.41,47.7x26.7x16.9 cm,4.94,Low Stock
52,SKU-R37997,Ultra Phone,Toys,Budget,CartPro,697.35,539.04,2022-07-18T07:56:15,False,Grey,XXL,18.69,49.3x30.2x17.2 cm,3.05,Out of Stock
53,SKU-Z32502,Pro Mixer,Grocery,Outdoor,PrimeLine,927.76,460.37,2024-08-21 22:18:04,False,Green,S,8.86,59.4x51.4x38.3 cm,4.79,In Stock
54,SKU-D33961,Smart Mixer,Grocery,Standard,UrbanEdge,3174.89,1404.38,2021-02-05 11:54:05,False,Black,S,1.58,29.4x58.0x34.2 cm,2.68,Low Stock
55,SKU-T44855,Max Mixer,Sports,Office,Luxora,1497.98,805.65,"Jul 28, 2021",False,Black,M,unknown,36.2x30.7x17.1 cm,2.28,In Stock
56,SKU-G79217,Max Watch,Grocery,Standard,GeoBasics,1013.44,744.41,2020-03-29,False,Black,,24.03,31.0x12.1x20.5 cm,3.09,Low Stock
57,SKU-S55290,Pro Mixer,Home & Kitchen,Office,GeoBasics,1033.11,596.38,2021-09-24T01:19:01,False,Pink,XS,2.42,56.6x46.2x7.5 cm,2.03,Out of Stock
58,SKU-L80720,Max Shoes,Grocery,Premium,UrbanEdge,1490.17,722.9,2019-07-30 08:35:41,False,Grey,XS,22.73,35.9x28.7x35.2 cm,2.13,Out of Stock
59,SKU-B75812,Lite Phone,Fashion,Kids,UrbanEdge,797.06,641.26,2020-09-08T06:22:14,False,Pink,XS,7.81,56.3x32.2x2.3 cm,4.8,Low Stock
60,SKU-H59468,Ultra Bottle,Toys,Premium,UrbanEdge,1222.38,778.9,2019-05-07 02:03:32,False,Green,S,1.88,66.2x34.4x23.3 cm,4.84,In Stock
61,SKU-J32107,Lite Bottle,Grocery,Office,Luxora,2415.71,2006.58,2020-12-21 03:31:21,True,Blue,L,17.47,45.2x78.9x16.0 cm,2.04,Out of Stock
62,SKU-T28441,Max Headphones,Beauty,Standard,PrimeLine,1403.93,1158.85,2021-04-30 17:13:53,False,Black,XL,6.52,59.2x7.7x28.0 cm,2.1,Out of Stock
63,SKU-I99202,Eco Backpack,Home & Kitchen,Outdoor,HomeSense,1243.12,837.63,"Jul 07, 2024",False,Red,XXL,0.72,49.4x48.5x28.9 cm,3.4,Low Stock
64,SKU-N72211,Max Headphones,Sports,Premium,PrimeLine,541.78,one hundred,2019-08-06,False,Blue,L,16.45,7.5x25.3x36.2 cm,2.42,Low Stock
65,SKU-Q25738,Smart Shoes,Home & Kitchen,Outdoor,CartPro,800.26,469.47,2021-12-09T10:36:38,False,Pink,M,6.71,41.2x60.5x15.4 cm,3.81,In Stock
66,SKU-C79543,Max Shoes,Fashion,Standard,CartPro,3208.01,1905.21,2021-12-05T16:31:44,False,Green,XL,15.85,50.2x51.3x23.9 cm,4.75,Low Stock
67,SKU-E85360,Pro Shoes,Toys,Outdoor,UrbanEdge,3158.38,1308.03,14/04/2021,True,Red,,23.17,24.6x23.9x20.8 cm,4.71,Out of Stock
68,SKU-K59149,Ultra Headphones,Sports,Budget,ActiveX,915.56,647.45,2019-07-14T16:21:02,False,Red,XS,15.84,44.2x65.1x7.6 cm,4.09,In Stock
69,SKU-S60248,Pro Bottle,Fashion,Budget,HomeSense,1495.8,808.96,"Apr 10, 2023",False,,,15.84,62.5x78.5x12.5 cm,3.94,Low Stock
70,SKU-H68300,Eco Mixer,Electronics,Premium,Luxora,884.95,486.47,2023-12-28 11:23:28,False,White,XL,1.77,31.1x49.3x28.1 cm,3.49,In Stock
71,SKU-C18191,Smart Mixer,Sports,Kids,Luxora,1481.74,1115.89,"Oct 24, 2020",True,Pink,,7.17,17.9x40.2x24.1 cm,3.17,Out of Stock
72,SKU-L56005,Pro Backpack,Fashion,Premium,PrimeLine,1235.9,1039.45,06/06/2022,False,Red,S,7.96,31.0x27.9x30.3 cm,4.86,Out of Stock
73,SKU-R54251,Lite Mixer,Beauty,Budget,UrbanEdge,2702.89,1217.55,2021-03-11 23:03:33,True,Black,L,4.32,28.6x70.6x17.2 cm,4.24,In Stock
74,SKU-Y64602,Max Watch,Electronics,Office,PrimeLine,1695.88,841.47,2022-03-19T13:47:17,True,Black,XXL,13.58,21.9x66.4x39.8 cm,4.63,Out of Stock
9146,SKU-H68361,Eco Phone,Toys,Standard,PrimeLine,751.05,567.0,2021-12-17T22:38:20,False,,M,8.03,27.1x17.7x4.2 cm,2.74,In Stock
76,SKU-L34293,Smart Shoes,Grocery,Standard,Luxora,176.98,133.74,"Mar 28, 2024",False,Red,,10.63,74.1x10.9x10.6 cm,4.96,In Stock
77,SKU-K61768,Max Mixer,Grocery,Kids,HomeSense,1833.95,1330.71,"Mar 02, 2018",True,Black,XL,5.19,54.8x77.8x32.5 cm,4.23,Low Stock
78,SKU-O43853,Smart Headphones,Electronics,Budget,ActiveX,774.52,532.39,"Sep 01, 2024",True,Grey,XL,13.92,78.3x20.2x36.6 cm,3.54,Out of Stock
79,SKU-F95811,Max Shoes,Grocery,Office,PrimeLine,2078.53,1010.82,2019-07-03 04:55:01,False,White,,20.07,40.5x23.7x17.9 cm,4.9,In Stock
80,SKU-O10100,Ultra Shoes,Toys,Budget,UrbanEdge,1363.65,879.03,2020-05-05 09:41:42,False,Pink,XXL,17.88,9.5x11.6x6.8 cm,4.83,Out of Stock
81,SKU-I39639,Eco Shoes,Electronics,Office,HomeSense,2511.31,1681.86,2021-12-10 22:58:31,False,Green,,14.43,32.9x41.5x25.5 cm,2.32,In Stock
82,SKU-P85120,Max Watch,Electronics,Office,Luxora,1891.5,1565.24,2021-07-10T00:00:53,False,Green,L,7.58,69.0x68.7x34.1 cm,2.34,In Stock
83,SKU-V78750,Smart Bottle,Toys,Office,GeoBasics,1910.7,1344.93,2022-08-17 01:30:41,False,White,,22.97,63.8x36.3x31.8 cm,2.96,Low Stock
84,SKU-Q27334,Pro Watch,Beauty,Outdoor,HomeSense,1847.11,1459.21,2024-08-14 04:57:08,False,Green,S,6.98,14.4x19.7x21.1 cm,4.4,Low Stock
85,SKU-I42298,Lite Mixer,Electronics,Outdoor,UrbanEdge,2011.99,1563.34,19/02/2020,False,White,L,10.92,21.0x5.3x29.7 cm,4.45,Out of Stock
86,SKU-R40774,Eco Bottle,Home & Kitchen,Outdoor,ActiveX,2592.44,1916.76,2022-01-16,False,Blue,L,23.84,30.4x61.4x12.3 cm,4.01,In Stock
87,SKU-U20523,Pro Phone,Home & Kitchen,Standard,UrbanEdge,1578.8,892.37,"Mar 08, 2023",False,Grey,,5.39,16.9x78.7x9.9 cm,4.33,In Stock
88,SKU-L57485,Max Phone,Home & Kitchen,Budget,PrimeLine,253.45,201.53,"Jul 09, 2020",False,Black,S,5.12,35.6x22.7x13.2 cm,4.58,Low Stock
89,SKU-G69177,Lite Shoes,Fashion,Budget,GeoBasics,1775.78,1315.83,23/05/2023,False,Black,XL,8.34,48.8x22.0x4.3 cm,2.77,Low Stock
90,SKU-N86617,Ultra Shoes,Beauty,Budget,PrimeLine,1195.61,870.26,2025-08-29,True,Grey,XS,7.91,37.5x47.4x29.7 cm,2.52,Low Stock
91,SKU-Q12217,Lite Mixer,Sports,Kids,ActiveX,1053.7,486.97,03/01/2024,False,Black,XXL,23.2,32.8x79.7x13.7 cm,3.51,Low Stock
92,SKU-Q50555,Smart Shoes,Grocery,Office,Luxora,1387.75,1134.1,2018-11-25,False,Red,M,8.9,17.7x20.6x11.2 cm,3.99,In Stock
93,SKU-Z80110,max phone,Electronics,Outdoor,HomeSense,636.26,255.11,14/03/2023,False,Pink,XS,12.23,53.6x24.1x38.0 cm,4.16,Low Stock
94,SKU-L18157,Eco Watch,Sports,Kids,PrimeLine,1468.22,791.85,2025-10-23T08:46:14,False,Green,L,22.39,79.2x16.8x34.1 cm,2.2,Out of Stock
95,SKU-T58135,Lite Phone,Grocery,Budget,ActiveX,945.65,666.46,2022-11-04T04:27:28,False,Grey,XL,19.3,59.6x72.3x39.8 cm,3.46,Out of Stock
96,SKU-L77454,Smart Mixer,Grocery,Standard,Luxora,1074.4,502.09,2025-01-24T02:30:32,False,Blue,M,12.49,5.6x77.9x28.2 cm,3.38,Low Stock
97,SKU-C66914,Eco Headphones,Toys,Outdoor,GeoBasics,2115.85,1582.12,2022-11-12,False,White,XXL,19.81,8.6x37.3x6.5 cm,2.18,In Stock
98,SKU-L78932,Max Backpack,Home & Kitchen,Budget,Luxora,1959.58,910.58,2018-10-09 05:33:37,False,Blue,XS,13.34,5.4x30.8x3.8 cm,3.26,Out of Stock
99,SKU-B58781,Ultra Mixer,Beauty,Budget,PrimeLine,2229.85,893.46,05/08/2019,False,White,M,24.72,6.2x21.6x12.1 cm,4.89,In Stock
100,SKU-M12733,Eco Phone,Toys,Outdoor,HomeSense,424.14,175.08,2024-11-02 05:39:45,True,Grey,,5.24,62.4x29.1x23.0 cm,2.28,In Stock
101,SKU-C85958,Smart Headphones,Grocery,Budget,UrbanEdge,one hundred,331.52,2020-07-12T01:17:50,False,Red,,24.17,71.5x73.1x37.8 cm,2.54,Low Stock
102,SKU-T47593,Smart Phone,Beauty,Outdoor,Luxora,1603.46,one hundred,"Jul 30, 2024",False,Grey,M,4.52,44.9x18.5x16.5 cm,2.81,In Stock
103,SKU-E78262,Ultra Bottle,Grocery,Outdoor,UrbanEdge,1605.71,696.97,2018-11-30,False,White,,1.19,71.4x21.4x34.7 cm,3.41,In Stock
104,SKU-C71228,eco phone,Grocery,Standard,PrimeLine,481.23,270.34,2025-01-30,False,White,L,8.98,76.1x34.0x2.2 cm,3.45,Out of Stock
105,SKU-H27725,Pro Mixer,Beauty,Office,PrimeLine,1287.95,625.62,2022-01-18,False,Pink,S,15.5,31.6x64.2x37.5 cm,3.47,In Stock
106,SKU-N70410,Eco Backpack,Grocery,Office,ActiveX,2605.69,2073.53,2020-08-20,False,Black,XXL,17.09,31.9x78.1x23.4 cm,4.4,In Stock
107,SKU-A98884,Pro Mixer,Grocery,Outdoor,CartPro,996.59,518.62,26/03/2024,False,Green,M,17.96,39.0x62.6x15.1 cm,4.31,Out of Stock
108,SKU-P38185,Ultra Shoes,Grocery,Premium,UrbanEdge,1385.16,960.51,"Jan 13, 2021",True,Green,XS,0.31,55.0x14.9x10.9 cm,4.3,In Stock
109,SKU-S48745,Smart Mixer,Fashion,Outdoor,HomeSense,1709.62,1248.49,2021-05-31T23:32:19,True,Green,XS,10.18,15.3x9.2x3.7 cm,3.67,In Stock
110,SKU-M49172,Smart Headphones,Home & Kitchen,Standard,ActiveX,2045.67,945.21,2022-10-29,False,Red,L,24.05,27.4x53.0x29.7 cm,3.91,Out of Stock
111,SKU-R14392,Pro Backpack,Electronics,Outdoor,Luxora,1431.18,650.7,"May 16, 2021",False,Pink,L,14.54,26.4x29.1x22.6 cm,2.27,Out of Stock
112,SKU-P32744,Pro Watch,Sports,Kids,CartPro,1355.18,1096.41,2024-03-02 08:08:20,True,Red,XXL,10.41,5.7x34.4x34.2 cm,3.89,In Stock
113,SKU-U43714,Ultra Phone,Beauty,Budget,GeoBasics,1194.18,562.6,2018-01-26,False,Grey,XL,6.07,10.9x51.0x22.9 cm,2.64,Out of Stock
114,SKU-E93021,Lite Headphones,Grocery,Kids,PrimeLine,828.61,536.88,2023-07-04T11:34:41,True,Red,,8.62,11.3x8.4x10.7 cm,3.87,In Stock
115,SKU-I86335,Max Phone,Sports,Kids,ActiveX,2953.91,1984.21,2024-10-24 07:40:50,False,Pink,L,19.25,39.3x26.3x18.2 cm,4.88,Low Stock
116,SKU-Q98642,Lite Phone,Toys,Office,PrimeLine,1232.87,670.52,17/10/2022,True,Pink,XS,9.1,63.2x5.0x39.1 cm,3.54,Out of Stock
117,SKU-R16141,Pro Phone,Grocery,Office,CartPro,1069.09,659.53,2025-07-29T22:45:29,False,White,,20.86,79.4x31.6x14.7 cm,2.04,Low Stock
118,SKU-D51609,Max Shoes,Fashion,Premium,HomeSense,1132.58,607.8,"Jan 06, 2023",False,Blue,L,4.77,13.7x75.7x23.0 cm,2.2,Out of Stock
119,SKU-H69968,Eco Headphones,Grocery,Outdoor,Luxora,1560.32,1204.8,"Oct 15, 2018",False,Grey,L,19.13,19.9x72.0x27.3 cm,N/A,Out of Stock
120,SKU-E76878,Max Watch,Sports,Outdoor,PrimeLine,1229.95,576.49,"Jun 04, 2025",False,White,,15.0,44.1x43.4x7.1 cm,3.85,Out of Stock
121,SKU-R53058,Lite Phone,Electronics,Outdoor,HomeSense,2079.84,1115.5,2023-01-02,False,Pink,M,13.03,26.6x77.8x29.1 cm,2.13,Out of Stock
122,SKU-P97636,Eco Watch,Fashion,Premium,CartPro,2705.01,1698.67,02/06/2021,False,White,S,23.53,71.4x14.2x17.5 cm,3.53,In Stock
8281,SKU-H58516,Lite Backpack,Grocery,Outdoor,UrbanEdge,1351.09,1062.28,"Sep 25, 2021",False,Blue,M,14.95,51.8x53.2x34.7 cm,2.28,Out of Stock
124,SKU-G31599,Smart Bottle,Beauty,Budget,PrimeLine,1048.36,826.04,2019-08-03 13:28:45,False,White,S,9.37,16.1x49.8x5.7 cm,3.29,Out of Stock
125,SKU-O47192,Max Backpack,Home & Kitchen,Outdoor,CartPro,N/A,1373.04,"May 05, 2023",False,Pink,,4.58,68.8x49.1x2.9 cm,3.99,In Stock
126,SKU-P61935,Eco Mixer,Fashion,Outdoor,PrimeLine,1846.64,1408.07,16/09/2025,False,White,M,1.3,26.8x49.6x36.0 cm,4.77,Out of Stock
127,SKU-X98200,Pro Shoes,Beauty,Premium,GeoBasics,1002.46,800.43,2023-08-07T21:23:43,True,Blue,M,4.95,20.8x14.2x10.7 cm,2.32,Low Stock
128,SKU-Y88346,Ultra Bottle,Beauty,Kids,HomeSense,1102.97,654.7,2025-09-02 21:18:08,False,Green,XL,570.6125867514404,52.1x48.6x25.1 cm,4.19,Out of Stock
129,SKU-I13486,Ultra Headphones,Grocery,Outdoor,ActiveX,1884.03,1210.88,"Sep 26, 2024",False,Pink,XS,0.55,19.8x26.1x38.1 cm,3.77,Out of Stock
130,SKU-A82789,Max Shoes,Fashion,Budget,GeoBasics,638.67,437.8,"Aug 28, 2022",False,Pink,XS,18.49,18.7x40.4x2.0 cm,4.7,Low Stock
131,SKU-C32370,Ultra Backpack,Sports,Standard,HomeSense,2005.16,1507.21,10/10/2021,False,White,XS,3.46,28.5x12.0x18.4 cm,4.11,Out of Stock
132,SKU-S65083,Eco Bottle,Electronics,Budget,PrimeLine,1075.8,599.33,2021-09-20T10:49:51,True,Blue,,15.18,69.5x58.1x21.0 cm,3.05,In Stock
133,SKU-I86974,Lite Bottle,Home & Kitchen,Kids,PrimeLine,2396.6,1025.07,2025-03-30T06:46:07,False,Pink,XS,5.55,23.0x41.1x37.0 cm,4.44,Out of Stock
134,SKU-S67263,Ultra Mixer,Grocery,Kids,HomeSense,1285.04,1016.69,2020-03-04T19:26:32,False,Green,S,24.03,49.7x78.2x39.5 cm,3.48,Low Stock
135,SKU-O91218,Lite Headphones,Sports,Office,Luxora,482.32,360.56,2024-09-05 15:10:27,False,Pink,XXL,12.7,24.2x62.6x34.5 cm,2.87,Low Stock
136,SKU-W44725,Pro Headphones,Sports,Office,Luxora,2343.81,1461.48,"Jun 22, 2021",False,White,L,2.11,68.4x14.4x17.8 cm,4.29,Out of Stock
137,SKU-C60410,Max Backpack,Fashion,Budget,HomeSense,931.34,407.42,2023-04-20T20:05:55,False,Pink,XL,14.45,10.5x60.0x13.0 cm,3.16,Out of Stock
138,SKU-Y15979,Pro Phone,Electronics,Kids,PrimeLine,1201.51,715.51,"Nov 19, 2022",False,Green,L,5.83,79.2x56.6x32.5 cm,4.14,Out of Stock
139,SKU-G71146,Lite Watch,Grocery,Premium,HomeSense,1342.94,569.36,2020-08-08,True,Black,M,12.61,5.5x38.7x7.3 cm,2.89,Out of Stock
140,SKU-V62891,Ultra Phone,Toys,Kids,PrimeLine,2412.55,1552.56,"Aug 06, 2025",False,,M,6.9,68.9x69.7x6.3 cm,4.3,In Stock
141,SKU-N55682,Pro Headphones,Home & Kitchen,Standard,Luxora,963.54,417.98,2023-10-25,True,Black,XL,10.0,8.2x14.5x19.9 cm,4.89,Low Stock
142,SKU-M17587,Pro Watch,Electronics,Budget,GeoBasics,2390.63,1755.23,2023-05-12,False,Green,XS,7.73,33.4x37.0x39.6 cm,4.81,Low Stock
143,SKU-A67242,Pro Watch,Grocery,Standard,Luxora,2009.1,912.75,2021-08-15 09:55:25,False,Grey,XXL,19.02,34.2x42.9x24.1 cm,3.11,In Stock
144,SKU-F28026,Eco Headphones,Toys,Kids,UrbanEdge,1369.44,772.66,"Aug 25, 2020",False,White,,1.21,35.2x33.0x15.1 cm,2.88,In Stock
145,SKU-E60228,Lite Phone,Electronics,Kids,HomeSense,2246.81,1205.04,2023-04-23T12:42:03,False,Green,XL,1.93,20.7x20.8x31.7 cm,3.12,Low Stock
3921,SKU-E37165,Lite Watch,Grocery,Standard,ActiveX,1497.84,816.4,12/05/2018,False,,,19.64,65.6x66.0x8.0 cm,2.37,Out of Stock
147,SKU-E72823,ULTRA SHOES,Home & Kitchen,Outdoor,GeoBasics,1330.51,1099.62,"Jun 19, 2024",False,Grey,L,20.38,51.3x54.8x10.4 cm,2.18,Out of Stock
148,SKU-V17301,Smart Bottle,Beauty,Budget,HomeSense,2368.26,1752.11,20/05/2021,False,Grey,M,20.01,7.6x69.1x4.1 cm,3.65,In Stock
149,SKU-N73497,Smart Mixer,Sports,Kids,ActiveX,828.64,611.32,2019-02-20,False,Black,M,18.86,5.4x8.0x4.7 cm,4.98,In Stock
150,SKU-I59347,Smart Mixer,Beauty,Office,Luxora,764.98,440.75,04/07/2024,False,White,XS,5.0,57.9x29.0x19.7 cm,4.5,Out of Stock
151,SKU-L84121,Ultra Bottle,Fashion,Office,PrimeLine,2345.43,1707.83,"Aug 16, 2025",True,Green,XS,13.82,66.5x74.5x35.1 cm,3.14,In Stock
4319,SKU-Q58229,Smart Shoes,Sports,Premium,CartPro,1996.96,1571.7,2019-10-19 16:37:47,True,Black,S,5.39,38.8x27.9x22.2 cm,4.01,Low Stock
153,SKU-V25417,Max Shoes,Grocery,Budget,Luxora,703.93,428.7,06/09/2021,False,Pink,XS,15.28,29.7x58.4x18.7 cm,4.52,Low Stock
